group,path,before_status,after_status,before_browser_ttfb_ms,after_browser_ttfb_ms,browser_ttfb_improvement_pct,before_fcp_ms,after_fcp_ms,fcp_improvement_pct,before_lcp_ms,after_lcp_ms,lcp_improvement_pct,before_cls,after_cls,cls_delta,before_tbt_approx_ms,after_tbt_approx_ms,tbt_approx_improvement_pct,before_transfer_bytes,after_transfer_bytes,transfer_improvement_pct,before_request_count,after_request_count,request_count_delta,before_http_median_ttfb_ms,after_http_median_ttfb_ms,http_median_ttfb_improvement_pct,before_http_median_total_ms,after_http_median_total_ms,http_median_total_improvement_pct,before_http_median_html_bytes,after_http_median_html_bytes,http_median_html_improvement_pct,before_effective_url,after_effective_url
sitemap,/,200,200,343,206.6,39.7668,1736,1628,6.2212,5220,3104,40.5364,0.0001,0.0001,0,0,0,,5475437,4926529,10.0249,114,92,-22,672.6,590.7,12.1766,1047.7,950.0999999999999,9.3156,60782,46105,24.147,https://aoe2war.com/,https://aoe2war.com/
sitemap,/academy,200,200,1016.4,213.4,79.0043,2036,1136,44.2043,8912,15596,-75,0.0002,0.0002,0,0,0,,3633649,2691103,25.9394,65,38,-27,1719.5,868.1,49.5144,1896.4,1884.7,0.617,21695,17031,21.498,https://aoe2war.com/academy,https://aoe2war.com/academy
sitemap,/ai,200,200,220.3,188,14.6618,1456,1372,5.7692,1456,1380,5.2198,0.0001,0.0001,0,0,0,,738523,587093,20.5044,59,32,-27,597.8,734.8,-22.9174,786,922,-17.3028,15723,10459,33.4796,https://aoe2war.com/ai,https://aoe2war.com/ai
sitemap,/battle-archive,200,200,889.6,204.4,77.0234,2720,1188,56.3235,2720,1436,47.2059,0.0001,0.0001,0,0,0,,788715,445765,43.4821,66,38,-28,1279.5,637,50.2149,1652,1513.6000000000001,8.3777,62168,56688,8.8148,https://aoe2war.com/battle-archive,https://aoe2war.com/battle-archive
sitemap,/bets,200,200,196.2,247.9,-26.3507,1976,1464,25.9109,1976,1600,19.0283,0.0001,0.0001,0,0,0,,979804,872028,10.9998,64,43,-21,569.1,576.9,-1.3706,758.3,756.6,0.2242,16441,9927,39.6205,https://aoe2war.com/bets,https://aoe2war.com/bets
sitemap,/betting-mechanics,200,200,190.1,202.1,-6.3125,2328,1200,48.4536,2328,1200,48.4536,0.0001,0.0001,0,0,0,,711017,616540,13.2876,60,40,-20,576,573.3000000000001,0.4687,762.9,577.8,24.2627,16552,9490,42.6655,https://aoe2war.com/betting-mechanics,https://aoe2war.com/betting-mechanics
sitemap,/bounties,200,200,239.1,196.5,17.8168,2496,1220,51.1218,4352,2700,37.9596,0.0001,0.0001,0,0,0,,1679331,1283036,23.5984,57,40,-17,620,592.9,4.371,804.1,781.3,2.8355,38568,33228,13.8457,https://aoe2war.com/bounties,https://aoe2war.com/bounties
sitemap,/challenge,200,200,207,243.2,-17.4879,880,2184,-148.1818,880,2184,-148.1818,0.0001,0.0001,0,0,0,,770888,634879,17.6432,64,42,-22,610,583.5,4.3443,795.2,753.4,5.2565,16050,9978,37.8318,https://aoe2war.com/challenge,https://aoe2war.com/challenge
sitemap,/champions,200,200,1067.1,204.6,80.8265,2920,1244,57.3973,2920,1772,39.3151,0.0001,0.0001,0,0,0,,1229250,1250463,-1.7257,51,50,-1,1709.8,577.3000000000001,66.2358,1900.8,1477.6000000000001,22.2643,41738,36733,11.9915,https://aoe2war.com/champions,https://aoe2war.com/champions
sitemap,/clans,200,200,615.2,203.6,66.9051,2248,988,56.0498,2248,1348,40.0356,0.0001,0.0001,0,0,0,,885340,732070,17.312,68,41,-27,603.1,585.4,2.9348,782.5999999999999,771.7,1.3928,19411,14354,26.0522,https://aoe2war.com/clans,https://aoe2war.com/clans
